dataset,model_tier,condition,n,EX,valid,tbl_recall,col_prec_strict
D1,MID,C1,1034,0.7573,1.0,1.0,0.1562
D1,MID,C2,1034,0.7495,1.0,1.0,0.1641
D1,MID,C3,1034,0.7215,1.0,0.9521,0.1842
D1,MID,C4,1034,0.7611,1.0,1.0,0.1624
D1,STRONG,C1,1034,0.7785,0.999,1.0,0.1562
D1,STRONG,C2,1034,0.7785,1.0,1.0,0.1641
D1,STRONG,C3,1034,0.7427,0.999,0.9521,0.1842
D1,STRONG,C4,1034,0.7776,0.999,1.0,0.1624
D1,WEAK,C1,1034,0.7466,0.9981,1.0,0.1562
D1,WEAK,C2,1034,0.7311,0.9981,1.0,0.1641
D1,WEAK,C3,1034,0.706,0.9981,0.9521,0.1842
D1,WEAK,C4,1034,0.7437,0.9981,1.0,0.1624
D2,MID,C1,498,0.5181,0.998,0.996,0.1112
D2,MID,C2,498,0.4398,1.0,0.996,0.1591
D2,MID,C3,498,0.504,0.996,0.9847,0.127
D2,MID,C4,498,0.5,0.996,0.996,0.1268
D2,STRONG,C1,498,0.5281,1.0,0.996,0.1112
D2,STRONG,C2,498,0.4418,1.0,0.996,0.1591
D2,STRONG,C3,498,0.5341,1.0,0.9847,0.127
D2,STRONG,C4,498,0.5321,1.0,0.996,0.1268
D2,WEAK,C1,498,0.4438,0.9699,0.996,0.1112
D2,WEAK,C2,498,0.3755,0.9659,0.996,0.1591
D2,WEAK,C3,498,0.4317,0.9679,0.9847,0.127
D2,WEAK,C4,498,0.4438,0.9779,0.996,0.1268
