dataset,model_tier,condition,n,ctx_tokens,prompt_tokens,EX,cost
D1,MID,C1,1034,418.4816,681.3453,0.7573,0.0004
D1,MID,C2,1034,314.941,550.8317,0.7495,0.0003
D1,MID,C4,1034,371.6925,613.9265,0.7611,0.0004
D1,STRONG,C1,1034,418.4816,681.3453,0.7785,0.0021
D1,STRONG,C2,1034,314.941,550.8317,0.7785,0.0017
D1,STRONG,C4,1034,371.6925,613.9265,0.7776,0.0019
D1,WEAK,C1,1034,418.4816,682.3453,0.7466,0.0001
D1,WEAK,C2,1034,314.941,551.8317,0.7311,0.0001
D1,WEAK,C4,1034,371.6925,614.9265,0.7437,0.0001
D2,MID,C1,500,3449.422,5073.794,0.5181,0.0027
D2,MID,C2,500,887.892,1380.192,0.4398,0.0008
D2,MID,C4,500,2756.34,4075.132,0.5,0.0022
D2,STRONG,C1,500,3449.422,5073.794,0.5281,0.0134
D2,STRONG,C2,500,887.892,1380.192,0.4418,0.0041
D2,STRONG,C4,500,2756.34,4075.132,0.5321,0.0109
D2,WEAK,C1,500,3449.422,5074.794,0.4438,0.0008
D2,WEAK,C2,500,887.892,1381.192,0.3755,0.0002
D2,WEAK,C4,500,2756.34,4076.132,0.4438,0.0006
D2_fin,MID,C1,32,804.5938,1426.4062,0.4688,0.0009
D2_fin,MID,C4,32,671.3438,1178.0625,0.4062,0.0008
D2_fin,STRONG,C1,32,804.5938,1426.4062,0.3438,0.0045
D2_fin,STRONG,C4,32,671.3438,1178.0625,0.3438,0.0038
D2_fin,WEAK,C1,32,804.5938,1427.4062,0.3438,0.0003
D2_fin,WEAK,C4,32,671.3438,1179.0625,0.3125,0.0002
