dataset,model_tier,condition,n,EX,col_recall,col_precision,ctx_tokens,dEX_vs_C1
D1,MID,C1,1034,0.7573,0.9217,0.1562,418.4816,0.0
D1,MID,C2,1034,0.7495,0.9206,0.1641,314.941,-0.0077
D1,MID,C3,1034,0.7215,0.8743,0.1842,307.1103,-0.0358
D1,MID,C4,1034,0.7611,0.9212,0.1624,371.6925,0.0039
D1,STRONG,C1,1034,0.7785,0.9217,0.1562,418.4816,0.0
D1,STRONG,C2,1034,0.7785,0.9206,0.1641,314.941,0.0
D1,STRONG,C3,1034,0.7427,0.8743,0.1842,307.1103,-0.0358
D1,STRONG,C4,1034,0.7776,0.9212,0.1624,371.6925,-0.001
D1,WEAK,C1,1034,0.7466,0.9217,0.1562,418.4816,0.0
D1,WEAK,C2,1034,0.7311,0.9206,0.1641,314.941,-0.0155
D1,WEAK,C3,1034,0.706,0.8743,0.1842,307.1103,-0.0406
D1,WEAK,C4,1034,0.7437,0.9212,0.1624,371.6925,-0.0029
D2,MID,C1,498,0.5181,0.9795,0.1112,3454.2651,0.0
D2,MID,C2,498,0.4398,0.8101,0.1591,888.5361,-0.0783
D2,MID,C3,498,0.504,0.968,0.127,3336.504,-0.0141
D2,MID,C4,498,0.5,0.9713,0.1268,2758.8253,-0.0181
D2,STRONG,C1,498,0.5281,0.9795,0.1112,3454.2651,0.0
D2,STRONG,C2,498,0.4418,0.8101,0.1591,888.5361,-0.0863
D2,STRONG,C3,498,0.5341,0.968,0.127,3336.504,0.006
D2,STRONG,C4,498,0.5321,0.9713,0.1268,2758.8253,0.004
D2,WEAK,C1,498,0.4438,0.9795,0.1112,3454.2651,0.0
D2,WEAK,C2,498,0.3755,0.8101,0.1591,888.5361,-0.0683
D2,WEAK,C3,498,0.4317,0.968,0.127,3336.504,-0.012
D2,WEAK,C4,498,0.4438,0.9713,0.1268,2758.8253,0.0
D2_fin,MID,C1,32,0.4688,0.9792,0.108,804.5938,0.0
D2_fin,MID,C4,32,0.4062,0.9494,0.1469,671.3438,-0.0625
D2_fin,STRONG,C1,32,0.3438,0.9792,0.108,804.5938,0.0
D2_fin,STRONG,C4,32,0.3438,0.9494,0.1469,671.3438,0.0
D2_fin,WEAK,C1,32,0.3438,0.9792,0.108,804.5938,0.0
D2_fin,WEAK,C4,32,0.3125,0.9494,0.1469,671.3438,-0.0312
